GAME_ID	MATCHUP	GAME_DATE	TEAM_ID	WL	TOV	TEAM_ABBREVIATION	FG_PCT	FG3_PCT	FT_PCT	REB	OREB	DREB	AST	STL	BLK	OFF_RATING	DEF_RATING	TS_PCT	ELO
21801220	ATL vs. IND	APR 10, 2019	1610612737	L	17	ATL	0.417	0.415	0.816	61	22	39	29	5	7	122.9	125.0	0.56	1193.0
21801202	ATL @ MIL	APR 07, 2019	1610612737	L	11	ATL	0.4	0.378	0.526	48	9	39	25	2	3	99.1	106.5	0.494	1195.0
21801181	ATL @ ORL	APR 05, 2019	1610612737	L	14	ATL	0.436	0.256	0.677	38	10	28	21	16	4	102.7	134.2	0.525	1205.0
21801168	ATL vs. PHI	APR 03, 2019	1610612737	W	11	ATL	0.522	0.333	0.786	44	11	33	29	7	7	126.2	118.4	0.623	1190.0
21801162	ATL @ SAS	APR 02, 2019	1610612737	L	11	ATL	0.457	0.353	0.65	43	11	32	26	13	2	108.8	113.6	0.54	1194.0
21801145	ATL vs. MIL	MAR 31, 2019	1610612737	W	9	ATL	0.441	0.361	0.588	58	15	43	36	10	10	114.3	115.4	0.542	1187.0
21801131	ATL vs. POR	MAR 29, 2019	1610612737	L	10	ATL	0.404	0.237	0.929	41	8	33	20	5	7	98.0	116.8	0.489	1197.0
21801113	ATL @ NOP	MAR 26, 2019	1610612737	W	16	ATL	0.454	0.373	0.885	41	9	32	30	13	4	115.0	105.3	0.599	1180.0
21801088	ATL vs. PHI	MAR 23, 2019	1610612737	W	12	ATL	0.462	0.319	0.762	49	15	34	28	8	7	117.3	116.5	0.56	1171.0
21801076	ATL vs. UTA	MAR 21, 2019	1610612737	W	16	ATL	0.471	0.475	0.696	43	9	34	26	8	5	110.4	108.6	0.602	1161.0
21801060	ATL vs. HOU	MAR 19, 2019	1610612737	L	19	ATL	0.464	0.375	0.8	45	8	37	30	6	1	104.0	119.8	0.579	1169.0
21801046	ATL @ ORL	MAR 17, 2019	1610612737	L	18	ATL	0.418	0.229	0.7	50	8	42	20	8	3	85.8	95.3	0.477	1174.0
21801034	ATL @ BOS	MAR 16, 2019	1610612737	L	17	ATL	0.43	0.375	0.792	50	19	31	27	11	5	114.3	122.9	0.543	1177.0
21801016	ATL vs. MEM	MAR 13, 2019	1610612737	W	11	ATL	0.505	0.378	0.786	51	15	36	35	9	9	130.7	109.9	0.605	1158.0
21800995	ATL vs. NOP	MAR 10, 2019	1610612737	W	9	ATL	0.49	0.459	0.833	56	10	46	30	4	5	123.1	112.6	0.604	1142.0
21800987	ATL vs. BKN	MAR 09, 2019	1610612737	L	10	ATL	0.371	0.195	0.813	57	18	39	22	7	2	102.8	105.6	0.47	1147.0
21800968	ATL vs. SAS	MAR 06, 2019	1610612737	L	14	ATL	0.391	0.302	0.792	47	11	36	21	8	2	100.0	105.7	0.507	1155.0
21800953	ATL @ MIA	MAR 04, 2019	1610612737	L	14	ATL	0.418	0.37	0.8	42	16	26	25	9	2	113.0	112.9	0.554	1157.0
21800946	ATL @ CHI	MAR 03, 2019	1610612737	W	13	ATL	0.472	0.5	0.643	46	11	35	30	10	5	118.3	114.6	0.607	1146.0
21800928	ATL vs. CHI	MAR 01, 2019	1610612737	L	20	ATL	0.496	0.367	0.68	59	9	50	33	11	8	111.0	117.5	0.601	1159.0
21800912	ATL vs. MIN	FEB 27, 2019	1610612737	W	12	ATL	0.426	0.414	0.844	65	18	47	32	1	6	115.9	107.0	0.537	1145.0
21800903	ATL @ HOU	FEB 25, 2019	1610612737	L	17	ATL	0.487	0.447	0.696	41	10	31	21	6	6	112.1	120.2	0.616	1148.0
21800883	ATL vs. PHX	FEB 23, 2019	1610612737	W	13	ATL	0.413	0.364	0.842	50	12	38	22	8	9	114.3	107.7	0.552	1142.0
21800877	ATL vs. DET	FEB 22, 2019	1610612737	L	18	ATL	0.489	0.476	0.842	47	10	37	21	6	4	119.6	122.5	0.633	1148.0
21800865	ATL vs. NYK	FEB 14, 2019	1610612737	L	12	ATL	0.363	0.263	0.789	41	10	31	19	8	4	93.8	108.2	0.458	1173.0
21800848	ATL vs. LAL	FEB 12, 2019	1610612737	W	20	ATL	0.435	0.381	0.808	47	6	41	29	8	6	105.4	102.7	0.566	1165.0
21800837	ATL vs. ORL	FEB 10, 2019	1610612737	L	11	ATL	0.463	0.406	0.84	33	5	28	27	5	6	110.2	125.3	0.593	1181.0
21800827	ATL vs. CHA	FEB 09, 2019	1610612737	L	18	ATL	0.535	0.424	0.737	36	10	26	26	10	3	120.0	129.0	0.636	1193.0
21800813	ATL vs. TOR	FEB 07, 2019	1610612737	L	17	ATL	0.45	0.457	0.52	42	8	34	25	5	3	103.1	120.2	0.555	1203.0
21800791	ATL @ WAS	FEB 04, 2019	1610612737	W	12	ATL	0.505	0.5	0.862	50	14	36	29	7	2	133.0	126.5	0.66	1187.0
21800784	ATL @ PHX	FEB 02, 2019	1610612737	W	24	ATL	0.512	0.438	0.692	53	16	37	21	6	5	118.0	112.0	0.618	1178.0
21800773	ATL @ UTA	FEB 01, 2019	1610612737	L	11	ATL	0.398	0.304	0.833	40	8	32	23	11	4	108.7	125.5	0.516	1183.0
