TEAM_ABBREVIATION	COMMENT
	Miami Heat Vs New Orleans Pelicans
MIA	CONGRATS MIAMI KEEP IT UP GOD BLESS NBA PEACE😉👌✌👍🙏🏻💯💯💯💯💯
	This game was entertaining
MIA	Miami Heat best basketball 🏀 players ever!
MIA	Heat nation 3-0 on this 6 game road trip!!!!!
	James Wardell You have such expressive eyes that they keep revealing how much you adore me  You have impeccable skills to be presentable.You are so handsome You can make any outfit look good. And with that smile, it's hard to care about the clothes any… Wyświetl więcej
MIA	Refs were terrible and won the game for Heat.
	Robert Rydzewski hows that😂😂😂😂
MIA	Best NBA game of the year #Heatnation
	Eric Henry Heat Nation
	Nice foul kevin
	Eric Henry You have such expressive eyes that they keep revealing how much you adore me  You have impeccable skills to be presentable.You are so handsome You can make any outfit look good. And with that smile, it's hard to care about the clothes anyway… Wyświetl więcej
NOP	I hope the New Orleans Pelicans will learn this lesson
	you dont really want a fist fight with this guy
MIA	Great work, Bam!!
MIA	Lets go Heat..💪💪💪💪
MIA	Way to go Heat!
MIA	BAM!!
	🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊
	Ricka Fortington 🔥🔥
	That scuffle was A more interesting fight to watch than all Floyd Mayweather and Shakur Stevenson fights combined 🥱🥱🥱
	Arv
	Sesh
MIA	JIMMY BUCKETS and BAM!
MIA	Missed out on Jimmy triple double Buckets today.
	😎😎😎
	BAM TAKEOVER
	Make games free for all Australia they do NFL on 7 MATE
NOP	Zion on fire recently
MIA	Nice one
SPAM	https://twitter.com/BradyHawk305/status/1761245317171740854
	Tamesss. Paldo na naman mga tropa ko. Ivan Kris Nilo Jr Navales
SPAM	https://www.facebook.com/share/g4mvHq7qM5poU81U/?mibextid=K35XfP
	Bam Adebayo
NOP	That Pelicans player Marshall is a shitty coward who talks and talks but runs backwards 🤣🤣🤣 STUPID
	Big bam
SPAM	https://www.instagram.com/reel/C3rW_ZCss-I/?igsh=MWJmNm9ic3hhcHV3ZA== Stop Israeli War Crimes
SPAM	I’m paying off the debts of first 5 people to now “LACKING” stay blessed y’all❤️💸🇨🇦🇺🇸
