GAME_ID	MATCHUP	OUTCOME	TEAM_ID_home	TEAM_ABBREVIATION_home	FG_PCT_home	FG3_PCT_home	FT_PCT_home	REB_home	OREB_home	DREB_home	AST_home	STL_home	BLK_home	OFF_RATING_home	DEF_RATING_home	TS_PCT_home	TOV_home	ELO_home	TEAM_ID_away	TEAM_ABBREVIATION_away	FG_PCT_away	FG3_PCT_away	FT_PCT_away	REB_away	OREB_away	DREB_away	AST_away	STL_away	BLK_away	OFF_RATING_away	DEF_RATING_away	TS_PCT_away	TOV_away	ELO_away
21800751	ORL vs. OKC	0	1610612753	ORL	0.431	0.341	0.833	53	18	35	26	4	5	114.7	124.8	0.532	12	1213.0	1610612760	OKC	0.538	0.429	0.731	43	6	37	25	7	8	124.8	114.7	0.615	7	1399.0
21800574	LAL vs. NYK	0	1610612747	LAL	0.439	0.297	0.75	55	12	43	23	4	7	102.8	108.2	0.524	16	1342.0	1610612752	NYK	0.374	0.297	0.829	56	13	43	20	12	4	108.2	102.8	0.508	6	1120.0
21801153	BOS vs. MIA	1	1610612738	BOS	0.396	0.425	0.875	49	14	35	25	8	2	111.1	105.0	0.542	12	1349.0	1610612748	MIA	0.455	0.27	0.833	48	9	39	27	9	6	105.0	111.1	0.547	15	1317.0
21801123	PHI vs. BKN	1	1610612755	PHI	0.5	0.48	0.75	45	9	36	27	10	3	119.4	105.8	0.601	9	1409.0	1610612751	BKN	0.444	0.344	0.655	45	11	34	25	4	3	105.8	119.4	0.535	15	1283.0
21801200	HOU vs. PHX	1	1610612745	HOU	0.53	0.474	0.762	52	12	40	34	12	5	140.6	106.6	0.682	9	1521.0	1610612756	PHX	0.462	0.324	0.762	42	8	34	26	8	0	106.6	140.6	0.553	13	1062.0
21800683	ATL vs. BOS	0	1610612737	ATL	0.435	0.293	0.929	49	13	36	28	8	6	101.9	109.7	0.535	20	1194.0	1610612738	BOS	0.443	0.375	0.92	43	11	32	19	10	8	109.7	101.9	0.571	15	1397.0
21801024	UTA vs. MIN	1	1610612762	UTA	0.494	0.342	0.704	49	13	36	30	7	8	123.7	103.1	0.595	11	1392.0	1610612750	MIN	0.462	0.208	0.733	38	8	30	27	6	2	103.1	123.7	0.512	11	1286.0
21801068	NYK vs. UTA	0	1610612752	NYK	0.523	0.419	0.619	40	8	32	23	6	6	116.0	137.0	0.609	14	1035.0	1610612762	UTA	0.565	0.476	0.84	40	7	33	38	7	3	137.0	116.0	0.714	10	1425.0
21800311	MIN vs. SAS	1	1610612750	MIN	0.505	0.439	0.667	48	13	35	33	12	6	129.3	89.9	0.606	8	1295.0	1610612759	SAS	0.391	0.296	1.0	46	12	34	23	1	8	89.9	129.3	0.48	18	1294.0
21800807	DAL vs. CHA	1	1610612742	DAL	0.404	0.306	0.706	57	15	42	25	8	5	100.0	93.9	0.488	13	1302.0	1610612766	CHA	0.404	0.243	0.706	47	8	39	17	9	9	93.9	100.0	0.482	14	1282.0
21800082	SAS vs. LAL	1	1610612759	SAS	0.484	0.188	0.792	49	12	37	20	7	5	106.8	102.9	0.542	13	1277.0	1610612747	LAL	0.477	0.394	0.611	42	7	35	19	5	5	102.9	106.8	0.564	17	1302.0
21800594	MIL vs. UTA	1	1610612749	MIL	0.469	0.36	0.813	46	10	36	27	10	6	115.2	102.0	0.543	10	1447.0	1610612762	UTA	0.419	0.378	0.696	46	11	35	20	6	6	102.0	115.2	0.531	15	1358.0
21800319	BOS vs. CLE	1	1610612738	BOS	0.533	0.548	0.813	47	12	35	30	4	4	132.0	97.9	0.646	10	1334.0	1610612739	CLE	0.39	0.318	0.8	36	9	27	18	5	1	97.9	132.0	0.514	13	1200.0
21800376	PHX vs. MIA	0	1610612756	PHX	0.456	0.412	0.75	42	4	38	27	7	4	98.0	115.0	0.57	20	1116.0	1610612748	MIA	0.488	0.405	0.889	40	6	34	32	10	5	115.0	98.0	0.612	12	1232.0
21800657	DET vs. ORL	1	1610612765	DET	0.478	0.4	0.8	47	14	33	26	4	4	120.0	116.2	0.583	10	1234.0	1610612753	ORL	0.5	0.359	0.538	37	8	29	29	6	3	116.2	120.0	0.577	11	1229.0
21800507	CHI vs. MIN	0	1610612741	CHI	0.411	0.261	0.625	45	12	33	22	6	5	95.9	121.4	0.461	10	1160.0	1610612750	MIN	0.495	0.344	0.842	52	12	40	26	4	1	121.4	95.9	0.587	11	1286.0
21800001	BOS vs. PHI	1	1610612738	BOS	0.433	0.297	0.714	55	12	43	21	7	5	100.0	82.1	0.509	14	1300.0	1610612755	PHI	0.391	0.192	0.609	47	6	41	18	8	5	82.1	100.0	0.448	16	1300.0
21800529	ATL vs. CLE	1	1610612737	ATL	0.439	0.27	0.6	53	17	36	27	7	4	111.0	109.1	0.509	13	1169.0	1610612739	CLE	0.471	0.217	0.793	44	10	34	27	9	2	109.1	111.0	0.552	12	1119.0
21800905	MIN vs. SAC	1	1610612750	MIN	0.506	0.258	0.714	49	7	42	23	10	6	99.1	93.8	0.587	22	1313.0	1610612758	SAC	0.389	0.346	0.759	44	14	30	20	13	2	93.8	99.1	0.487	19	1296.0
21800480	WAS vs. PHX	1	1610612764	WAS	0.505	0.361	0.889	53	17	36	40	6	5	120.2	117.7	0.606	22	1225.0	1610612756	PHX	0.478	0.314	0.758	50	19	31	30	14	7	117.7	120.2	0.564	14	1166.0
21800304	DEN vs. LAL	1	1610612743	DEN	0.485	0.36	0.933	60	16	44	28	7	4	118.2	85.9	0.565	11	1368.0	1610612747	LAL	0.391	0.143	0.667	39	8	31	19	5	8	85.9	118.2	0.448	12	1335.0
21800219	WAS vs. BKN	0	1610612764	WAS	0.425	0.167	0.794	47	12	35	18	5	4	102.0	111.7	0.51	13	1253.0	1610612751	BKN	0.422	0.273	0.789	47	13	34	19	8	3	111.7	102.0	0.539	11	1274.0
21800960	PHI vs. ORL	1	1610612755	PHI	0.472	0.393	0.905	50	10	40	28	10	4	114.0	105.0	0.58	11	1405.0	1610612753	ORL	0.452	0.406	0.75	44	10	34	21	4	2	105.0	114.0	0.539	12	1342.0
21800297	CHI vs. SAS	0	1610612741	CHI	0.467	0.424	0.818	43	5	38	23	6	5	109.2	109.1	0.564	11	1175.0	1610612759	SAS	0.484	0.333	0.889	46	7	39	29	7	2	109.1	109.2	0.557	10	1290.0
