Game_ID	GAME_DATE	Team_ID_x	WL_x	PTS_x	MATCHUP	Team_ID_y	WL_y	PTS_y	ELO_x	ELO_y
21900001	2019-10-22	1610612740	L	122	NOP @ TOR	1610612761	W	130	1250.0	1471.0
21900002	2019-10-22	1610612746	W	112	LAC vs. LAL	1610612747	L	102	1389.0	1310.0
21900003	2019-10-23	1610612741	L	125	CHI @ CHA	1610612766	W	126	1181.0	1340.0
21900004	2019-10-23	1610612754	L	110	IND vs. DET	1610612765	W	119	1377.0	1346.0
21900005	2019-10-23	1610612739	L	85	CLE @ ORL	1610612753	W	94	1169.0	1423.0
21900006	2019-10-23	1610612750	W	127	MIN @ BKN	1610612751	L	126	1298.0	1368.0
21900007	2019-10-23	1610612748	W	120	MIA vs. MEM	1610612763	L	101	1346.0	1301.0
21900008	2019-10-23	1610612738	L	93	BOS @ PHI	1610612755	W	107	1414.0	1403.0
21900009	2019-10-23	1610612742	W	108	DAL vs. WAS	1610612764	L	100	1291.0	1270.0
21900010	2019-10-23	1610612752	L	111	NYK @ SAS	1610612759	W	120	1149.0	1413.0
21900011	2019-10-23	1610612760	L	95	OKC @ UTA	1610612762	W	100	1413.0	1460.0
21900012	2019-10-23	1610612756	W	124	PHX vs. SAC	1610612758	L	95	1167.0	1314.0
21900013	2019-10-23	1610612743	W	108	DEN @ POR	1610612757	L	100	1427.0	1481.0
21900014	2019-10-24	1610612737	W	117	ATL @ DET	1610612765	L	100	1268.0	1362.0
21900015	2019-10-24	1610612745	L	111	HOU vs. MIL	1610612749	W	117	1514.0	1502.0
21900016	2019-10-24	1610612744	L	122	GSW vs. LAC	1610612746	W	141	1472.0	1396.0
21900017	2019-10-25	1610612738	W	112	BOS vs. TOR	1610612761	L	106	1402.0	1474.0
21900018	2019-10-25	1610612750	W	121	MIN @ CHA	1610612766	L	99	1304.0	1342.0
21900019	2019-10-25	1610612751	W	113	BKN vs. NYK	1610612752	L	109	1362.0	1146.0
21900020	2019-10-25	1610612741	W	110	CHI @ MEM	1610612763	L	102	1179.0	1289.0
21900021	2019-10-25	1610612740	L	116	NOP vs. DAL	1610612742	W	123	1247.0	1299.0
21900022	2019-10-25	1610612760	L	85	OKC vs. WAS	1610612764	W	97	1407.0	1262.0
21900023	2019-10-25	1610612743	W	108	DEN vs. PHX	1610612756	L	107	1443.0	1194.0
21900024	2019-10-25	1610612757	W	122	POR @ SAC	1610612758	L	112	1465.0	1287.0
21900025	2019-10-25	1610612747	W	95	LAL vs. UTA	1610612762	L	86	1303.0	1466.0
21900026	2019-10-26	1610612748	W	131	MIA @ MIL	1610612749	L	126	1358.0	1514.0
21900027	2019-10-26	1610612755	W	117	PHI @ DET	1610612765	L	111	1415.0	1337.0
21900028	2019-10-26	1610612737	W	103	ATL vs. ORL	1610612753	L	99	1293.0	1426.0
21900029	2019-10-26	1610612738	W	118	BOS @ NYK	1610612752	L	95	1411.0	1144.0
21900030	2019-10-26	1610612739	W	110	CLE vs. IND	1610612754	L	99	1166.0	1361.0
21900031	2019-10-26	1610612741	L	84	CHI vs. TOR	1610612761	W	108	1196.0	1465.0
21900032	2019-10-26	1610612740	L	123	NOP @ HOU	1610612745	W	126	1236.0	1502.0
21900033	2019-10-26	1610612759	W	124	SAS vs. WAS	1610612764	L	122	1416.0	1284.0
21900034	2019-10-26	1610612758	L	81	SAC @ UTA	1610612762	W	113	1278.0	1451.0
21900035	2019-10-26	1610612746	L	122	LAC @ PHX	1610612756	W	130	1422.0	1193.0
21900036	2019-10-27	1610612744	L	92	GSW @ OKC	1610612760	W	120	1446.0	1385.0
21900037	2019-10-27	1610612751	L	133	BKN @ MEM	1610612763	W	134	1364.0	1272.0
21900038	2019-10-27	1610612742	L	119	DAL vs. POR	1610612757	W	121	1310.0	1474.0
21900039	2019-10-27	1610612748	L	109	MIA @ MIN	1610612750	W	116	1372.0	1330.0
21900040	2019-10-27	1610612747	W	120	LAL vs. CHA	1610612766	L	101	1318.0	1316.0
21900041	2019-10-28	1610612754	L	94	IND @ DET	1610612765	W	96	1344.0	1327.0
21900042	2019-10-28	1610612741	L	98	CHI @ NYK	1610612752	W	105	1185.0	1133.0
21900043	2019-10-28	1610612737	L	103	ATL vs. PHI	1610612755	W	105	1302.0	1425.0
21900044	2019-10-28	1610612753	L	95	ORL @ TOR	1610612761	W	104	1417.0	1476.0
21900045	2019-10-28	1610612745	W	116	HOU vs. OKC	1610612760	L	112	1504.0	1406.0
21900046	2019-10-28	1610612739	L	112	CLE @ MIL	1610612749	W	129	1183.0	1500.0
21900047	2019-10-28	1610612740	L	123	NOP vs. GSW	1610612744	W	134	1234.0	1425.0
21900048	2019-10-28	1610612757	L	110	POR @ SAS	1610612759	W	113	1479.0	1419.0
21900049	2019-10-28	1610612756	L	95	PHX vs. UTA	1610612762	W	96	1209.0	1460.0
21900050	2019-10-28	1610612743	W	101	DEN @ SAC	1610612758	L	94	1444.0	1269.0
21900051	2019-10-28	1610612746	W	111	LAC vs. CHA	1610612766	L	96	1406.0	1302.0
21900052	2019-10-29	1610612737	L	97	ATL @ MIA	1610612748	W	112	1297.0	1363.0
21900053	2019-10-29	1610612742	W	109	DAL @ DEN	1610612743	L	106	1305.0	1452.0
21900054	2019-10-29	1610612747	W	120	LAL vs. MEM	1610612763	L	91	1332.0	1277.0
21900055	2019-10-30	1610612739	W	117	CLE vs. CHI	1610612741	L	111	1180.0	1176.0
21900056	2019-10-30	1610612752	L	83	NYK @ ORL	1610612753	W	95	1142.0	1410.0
21900057	2019-10-30	1610612750	L	95	MIN @ PHI	1610612755	W	117	1339.0	1430.0
21900058	2019-10-30	1610612738	W	116	BOS vs. MIL	1610612749	L	105	1422.0	1503.0
21900059	2019-10-30	1610612751	L	108	BKN vs. IND	1610612754	W	118	1359.0	1339.0
21900060	2019-10-30	1610612761	W	125	TOR vs. DET	1610612765	L	113	1483.0	1332.0
21900061	2019-10-30	1610612745	W	159	HOU @ WAS	1610612764	L	158	1508.0	1281.0
21900062	2019-10-30	1610612757	W	102	POR @ OKC	1610612760	L	99	1473.0	1402.0
21900063	2019-10-30	1610612746	L	96	LAC @ UTA	1610612762	W	110	1414.0	1463.0
21900064	2019-10-30	1610612758	L	111	SAC vs. CHA	1610612766	W	118	1261.0	1294.0
21900065	2019-10-30	1610612744	L	110	GSW vs. PHX	1610612756	W	121	1434.0	1206.0
21900066	2019-10-31	1610612737	L	97	ATL vs. MIA	1610612748	W	106	1288.0	1372.0
21900067	2019-10-31	1610612740	W	122	NOP vs. DEN	1610612743	L	107	1225.0	1441.0
21900068	2019-10-31	1610612746	W	103	LAC vs. SAS	1610612759	L	97	1404.0	1425.0
21900069	2019-11-01	1610612745	L	116	HOU @ BKN	1610612751	W	123	1511.0	1343.0
21900070	2019-11-01	1610612739	L	95	CLE @ IND	1610612754	W	102	1187.0	1355.0
21900071	2019-11-01	1610612749	W	123	MIL @ ORL	1610612753	L	91	1490.0	1413.0
21900072	2019-11-01	1610612738	W	104	BOS vs. NYK	1610612752	L	102	1435.0	1139.0
21900073	2019-11-01	1610612741	W	112	CHI vs. DET	1610612765	L	106	1169.0	1326.0
21900074	2019-11-01	1610612742	L	110	DAL vs. LAL	1610612747	W	119	1316.0	1346.0
21900075	2019-11-01	1610612758	W	102	SAC vs. UTA	1610612762	L	101	1249.0	1473.0
21900076	2019-11-01	1610612744	L	110	GSW vs. SAS	1610612759	W	127	1411.0	1417.0
21900077	2019-11-02	1610612740	L	104	NOP @ OKC	1610612760	W	115	1246.0	1395.0
21900078	2019-11-02	1610612751	L	109	BKN @ DET	1610612765	W	113	1356.0	1314.0
21900079	2019-11-02	1610612743	W	91	DEN @ ORL	1610612753	L	87	1420.0	1388.0
21900080	2019-11-02	1610612750	W	131	MIN @ WAS	1610612764	L	109	1329.0	1278.0
21900081	2019-11-02	1610612756	W	114	PHX @ MEM	1610612763	L	105	1229.0	1263.0
21900082	2019-11-02	1610612749	W	115	MIL vs. TOR	1610612761	L	105	1515.0	1489.0
21900083	2019-11-02	1610612744	L	87	GSW vs. CHA	1610612766	W	93	1390.0	1306.0
21900084	2019-11-02	1610612755	W	129	PHI @ POR	1610612757	L	128	1440.0	1480.0
21900085	2019-11-03	1610612741	L	95	CHI @ IND	1610612754	W	108	1181.0	1359.0
21900086	2019-11-03	1610612745	L	100	HOU @ MIA	1610612748	W	129	1498.0	1384.0
21900087	2019-11-03	1610612752	L	92	NYK vs. SAC	1610612758	W	113	1138.0	1255.0
21900088	2019-11-03	1610612747	W	103	LAL @ SAS	1610612759	L	96	1360.0	1438.0
21900089	2019-11-03	1610612739	L	111	CLE vs. DAL	1610612742	W	131	1183.0	1302.0
21900090	2019-11-03	1610612746	W	105	LAC vs. UTA	1610612762	L	94	1412.0	1467.0
21900091	2019-11-04	1610612764	W	115	WAS vs. DET	1610612765	L	99	1256.0	1321.0
21900092	2019-11-04	1610612740	L	125	NOP @ BKN	1610612751	W	135	1241.0	1349.0
21900093	2019-11-04	1610612745	W	107	HOU @ MEM	1610612763	L	100	1473.0	1247.0
21900094	2019-11-04	1610612749	W	134	MIL @ MIN	1610612750	L	106	1524.0	1351.0
21900095	2019-11-04	1610612755	L	109	PHI @ PHX	1610612756	W	114	1446.0	1245.0
21900096	2019-11-04	1610612744	W	127	GSW vs. POR	1610612757	L	118	1376.0	1474.0
21900097	2019-11-05	1610612754	L	120	IND @ CHA	1610612766	W	122	1364.0	1320.0
21900098	2019-11-05	1610612738	W	119	BOS @ CLE	1610612739	L	113	1436.0	1166.0
21900099	2019-11-05	1610612737	W	108	ATL vs. SAS	1610612759	L	100	1276.0	1423.0
21900100	2019-11-05	1610612741	L	112	CHI vs. LAL	1610612747	W	118	1176.0	1375.0
21900101	2019-11-05	1610612753	L	94	ORL @ OKC	1610612760	W	102	1379.0	1400.0
21900102	2019-11-05	1610612743	W	109	DEN vs. MIA	1610612748	L	89	1429.0	1409.0
21900103	2019-11-06	1610612752	L	102	NYK @ DET	1610612765	W	122	1121.0	1306.0
21900104	2019-11-06	1610612754	W	121	IND vs. WAS	1610612764	L	106	1359.0	1271.0
21900105	2019-11-06	1610612737	L	93	ATL vs. CHI	1610612741	W	113	1289.0	1169.0
21900106	2019-11-06	1610612758	L	120	SAC @ TOR	1610612761	W	124	1272.0	1480.0
21900107	2019-11-06	1610612744	L	112	GSW @ HOU	1610612745	W	129	1388.0	1479.0
21900108	2019-11-06	1610612750	L	121	MIN @ MEM	1610612763	W	137	1334.0	1241.0
21900109	2019-11-06	1610612742	W	107	DAL vs. ORL	1610612753	L	106	1319.0	1371.0
21900110	2019-11-06	1610612755	L	104	PHI @ UTA	1610612762	W	106	1434.0	1455.0
21900111	2019-11-06	1610612746	L	124	LAC vs. MIL	1610612749	W	129	1424.0	1541.0
21900112	2019-11-07	1610612738	W	108	BOS @ CHA	1610612766	L	87	1441.0	1325.0
21900113	2019-11-07	1610612759	W	121	SAS vs. OKC	1610612760	L	112	1410.0	1408.0
21900114	2019-11-07	1610612748	W	124	MIA @ PHX	1610612756	L	108	1396.0	1257.0
21900115	2019-11-07	1610612746	W	107	LAC vs. POR	1610612757	L	101	1416.0	1462.0
21900116	2019-11-08	1610612754	W	112	IND vs. DET	1610612765	L	106	1367.0	1312.0
21900117	2019-11-08	1610612753	W	118	ORL vs. MEM	1610612763	L	86	1367.0	1258.0
21900118	2019-11-08	1610612739	W	113	CLE @ WAS	1610612764	L	100	1161.0	1263.0
21900119	2019-11-08	1610612737	L	109	ATL vs. SAC	1610612758	W	121	1260.0	1270.0
21900120	2019-11-08	1610612744	L	119	GSW @ MIN	1610612750	W	125	1379.0	1317.0
21900121	2019-11-08	1610612740	L	104	NOP vs. TOR	1610612761	W	122	1235.0	1482.0
21900122	2019-11-08	1610612742	L	102	DAL vs. NYK	1610612752	W	106	1323.0	1115.0
21900123	2019-11-08	1610612743	W	100	DEN vs. PHI	1610612755	L	97	1442.0	1430.0
21900124	2019-11-08	1610612749	L	100	MIL @ UTA	1610612762	W	103	1549.0	1459.0
21900125	2019-11-08	1610612751	W	119	BKN @ POR	1610612757	L	115	1355.0	1453.0
21900126	2019-11-08	1610612747	W	95	LAL vs. MIA	1610612748	L	80	1382.0	1410.0
21900127	2019-11-09	1610612738	W	135	BOS @ SAS	1610612759	L	115	1459.0	1419.0
21900128	2019-11-09	1610612740	W	115	NOP @ CHA	1610612766	L	110	1225.0	1307.0
21900129	2019-11-09	1610612741	L	94	CHI vs. HOU	1610612745	W	117	1198.0	1488.0
21900130	2019-11-09	1610612742	W	138	DAL @ MEM	1610612763	L	122	1310.0	1246.0
21900131	2019-11-09	1610612744	L	108	GSW @ OKC	1610612760	W	114	1370.0	1399.0
21900132	2019-11-10	1610612743	W	100	DEN @ MIN	1610612750	L	98	1447.0	1326.0
21900133	2019-11-10	1610612753	L	102	ORL vs. IND	1610612754	W	109	1379.0	1373.0
21900134	2019-11-10	1610612755	W	114	PHI vs. CHA	1610612766	L	106	1425.0	1294.0
21900135	2019-11-10	1610612749	W	121	MIL @ OKC	1610612760	L	119	1542.0	1406.0
21900136	2019-11-10	1610612739	W	108	CLE @ NYK	1610612752	L	87	1183.0	1128.0
21900137	2019-11-10	1610612751	L	112	BKN @ PHX	1610612756	W	138	1367.0	1243.0
21900138	2019-11-10	1610612737	L	113	ATL @ POR	1610612757	W	124	1243.0	1441.0
21900139	2019-11-10	1610612747	L	104	LAL vs. TOR	1610612761	W	113	1395.0	1492.0
21900140	2019-11-11	1610612750	W	120	MIN @ DET	1610612765	L	114	1321.0	1306.0
21900141	2019-11-11	1610612738	W	116	BOS vs. DAL	1610612742	L	106	1480.0	1327.0
21900142	2019-11-11	1610612740	L	116	NOP vs. HOU	1610612745	W	122	1238.0	1498.0
21900143	2019-11-11	1610612759	L	109	SAS vs. MEM	1610612763	W	113	1398.0	1229.0
21900144	2019-11-11	1610612744	L	108	GSW vs. UTA	1610612762	W	122	1363.0	1466.0
21900145	2019-11-11	1610612746	W	98	LAC vs. TOR	1610612761	L	88	1425.0	1504.0
21900146	2019-11-12	1610612754	W	111	IND vs. OKC	1610612760	L	85	1386.0	1401.0
21900147	2019-11-12	1610612739	L	97	CLE @ PHI	1610612755	W	98	1204.0	1430.0
21900148	2019-11-12	1610612748	W	117	MIA vs. DET	1610612765	L	108	1397.0	1294.0
21900149	2019-11-12	1610612741	W	120	CHI vs. NYK	1610612752	L	102	1188.0	1107.0
21900150	2019-11-12	1610612737	W	125	ATL @ DEN	1610612743	L	121	1239.0	1452.0
21900151	2019-11-12	1610612747	W	123	LAL @ PHX	1610612756	L	115	1383.0	1267.0
