Game_ID	GAME_DATE	Team_ID_x	WL_x	PTS_x	MATCHUP	Team_ID_y	WL_y	PTS_y	ELO_x	ELO_y
21900001	2019-10-22	1610612740	L	122	NOP @ TOR	1610612761	W	130	1408.0	1601.0
21900002	2019-10-22	1610612746	W	112	LAC vs. LAL	1610612747	L	102	1527.0	1468.0
21900003	2019-10-23	1610612741	L	125	CHI @ CHA	1610612766	W	126	1356.0	1494.0
21900004	2019-10-23	1610612754	L	110	IND vs. DET	1610612765	W	119	1523.0	1498.0
21900005	2019-10-23	1610612739	L	85	CLE @ ORL	1610612753	W	94	1344.0	1571.0
21900006	2019-10-23	1610612750	W	127	MIN @ BKN	1610612751	L	126	1459.0	1514.0
21900007	2019-10-23	1610612748	W	120	MIA vs. MEM	1610612763	L	101	1497.0	1460.0
21900008	2019-10-23	1610612738	L	93	BOS @ PHI	1610612755	W	107	1560.0	1550.0
21900009	2019-10-23	1610612742	W	108	DAL vs. WAS	1610612764	L	100	1462.0	1430.0
21900010	2019-10-23	1610612752	L	111	NYK @ SAS	1610612759	W	120	1324.0	1555.0
21900011	2019-10-23	1610612760	L	95	OKC @ UTA	1610612762	W	100	1553.0	1596.0
21900012	2019-10-23	1610612756	W	124	PHX vs. SAC	1610612758	L	95	1345.0	1469.0
21900013	2019-10-23	1610612743	W	108	DEN @ POR	1610612757	L	100	1562.0	1614.0
21900014	2019-10-24	1610612737	W	117	ATL @ DET	1610612765	L	100	1427.0	1513.0
21900015	2019-10-24	1610612745	L	111	HOU vs. MIL	1610612749	W	117	1648.0	1621.0
21900016	2019-10-24	1610612744	L	122	GSW vs. LAC	1610612746	W	141	1591.0	1532.0
21900017	2019-10-25	1610612738	W	112	BOS vs. TOR	1610612761	L	106	1551.0	1603.0
21900018	2019-10-25	1610612750	W	121	MIN @ CHA	1610612766	L	99	1466.0	1495.0
21900019	2019-10-25	1610612751	W	113	BKN vs. NYK	1610612752	L	109	1507.0	1322.0
21900020	2019-10-25	1610612741	W	110	CHI @ MEM	1610612763	L	102	1355.0	1451.0
21900021	2019-10-25	1610612740	L	116	NOP vs. DAL	1610612742	W	123	1406.0	1467.0
21900022	2019-10-25	1610612760	L	85	OKC vs. WAS	1610612764	W	97	1549.0	1425.0
21900023	2019-10-25	1610612743	W	108	DEN vs. PHX	1610612756	L	107	1577.0	1368.0
21900024	2019-10-25	1610612757	W	122	POR @ SAC	1610612758	L	112	1599.0	1446.0
21900025	2019-10-25	1610612747	W	95	LAL vs. UTA	1610612762	L	86	1463.0	1600.0
21900026	2019-10-26	1610612748	W	131	MIA @ MIL	1610612749	L	126	1506.0	1633.0
21900027	2019-10-26	1610612755	W	117	PHI @ DET	1610612765	L	111	1559.0	1487.0
21900028	2019-10-26	1610612737	W	103	ATL vs. ORL	1610612753	L	99	1453.0	1573.0
21900029	2019-10-26	1610612738	W	118	BOS @ NYK	1610612752	L	95	1557.0	1320.0
21900030	2019-10-26	1610612739	W	110	CLE vs. IND	1610612754	L	99	1342.0	1508.0
21900031	2019-10-26	1610612741	L	84	CHI vs. TOR	1610612761	W	108	1371.0	1597.0
