C	regularization	solver	accuracy
1000	l1	saga	0.93362
1000	l1	liblinear	0.93134
100	l1	saga	0.93362
100	l1	liblinear	0.93134
50	l1	saga	0.93362
50	l1	liblinear	0.93362
10	l1	saga	0.93821
10	l1	liblinear	0.93821
1.0	l1	saga	0.94503
1.0	l1	liblinear	0.94503
0.1	l1	saga	0.93827
0.1	l1	liblinear	0.94508
0.01	l1	saga	0.64419
0.01	l1	liblinear	0.81173
1000	l2	lbfgs	0.93134
1000	l2	liblinear	0.93134
1000	l2	newton-cg	0.93134
1000	l2	newton-cholesky	0.93134
1000	l2	sag	0.93134
1000	l2	saga	0.93362
100	l2	lbfgs	0.93362
100	l2	liblinear	0.93362
100	l2	newton-cg	0.93362
100	l2	newton-cholesky	0.93362
100	l2	sag	0.93362
100	l2	saga	0.93362
50	l2	lbfgs	0.93594
50	l2	liblinear	0.93362
50	l2	newton-cg	0.93362
50	l2	newton-cholesky	0.93362
50	l2	sag	0.93362
50	l2	saga	0.93594
10	l2	lbfgs	0.94049
10	l2	liblinear	0.93821
10	l2	newton-cg	0.93821
10	l2	newton-cholesky	0.93821
10	l2	sag	0.93821
10	l2	saga	0.93821
1.0	l2	lbfgs	0.94059
1.0	l2	liblinear	0.94059
1.0	l2	newton-cg	0.94059
1.0	l2	newton-cholesky	0.94059
1.0	l2	sag	0.94059
1.0	l2	saga	0.94059
0.1	l2	lbfgs	0.93377
0.1	l2	liblinear	0.93832
0.1	l2	newton-cg	0.93377
0.1	l2	newton-cholesky	0.93377
0.1	l2	sag	0.93377
0.1	l2	saga	0.93377
0.01	l2	lbfgs	0.92008
0.01	l2	liblinear	0.92685
0.01	l2	newton-cg	0.92008
0.01	l2	newton-cholesky	0.92008
0.01	l2	sag	0.92008
0.01	l2	saga	0.92008
