hidden_layer_sizes	activation	solver	alpha	learning_rate	learning_rate_init	early_stopping	accuracy
64x1	tanh	sgd	1e-05	adaptive	0.1	True	0.95851
64x1	tanh	adam	1e-05	adaptive	0.1	True	0.94493
64x1	tanh	lbfgs	1e-05	adaptive	0.1	True	0.97933
64x1	tanh	sgd	1e-05	adaptive	0.01	True	0.94952
64x1	tanh	adam	1e-05	adaptive	0.01	True	0.95402
64x1	tanh	lbfgs	1e-05	adaptive	0.01	True	0.98166
64x1	tanh	sgd	1e-05	adaptive	0.001	True	0.88499
64x1	tanh	adam	1e-05	adaptive	0.001	True	0.91062
64x1	tanh	lbfgs	1e-05	adaptive	0.001	True	0.98166
64x1	tanh	sgd	1e-05	adaptive	0.0001	True	0.51115
64x1	tanh	adam	1e-05	adaptive	0.0001	True	0.62986
64x1	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.98393
64x1	tanh	sgd	1e-05	invscaling	0.1	True	0.93568
64x1	tanh	adam	1e-05	invscaling	0.1	True	0.96332
64x1	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97939
64x1	tanh	sgd	1e-05	invscaling	0.01	True	0.80264
64x1	tanh	adam	1e-05	invscaling	0.01	True	0.95169
64x1	tanh	lbfgs	1e-05	invscaling	0.01	True	0.98166
64x1	tanh	sgd	1e-05	invscaling	0.001	True	0.52553
64x1	tanh	adam	1e-05	invscaling	0.001	True	0.92664
64x1	tanh	lbfgs	1e-05	invscaling	0.001	True	0.98166
64x1	tanh	sgd	1e-05	invscaling	0.0001	True	0.46094
64x1	tanh	adam	1e-05	invscaling	0.0001	True	0.61998
64x1	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97484
64x2	tanh	sgd	1e-05	adaptive	0.1	True	0.94958
64x2	tanh	adam	1e-05	adaptive	0.1	True	0.93816
64x2	tanh	lbfgs	1e-05	adaptive	0.1	True	0.97706
64x2	tanh	sgd	1e-05	adaptive	0.01	True	0.93578
64x2	tanh	adam	1e-05	adaptive	0.01	True	0.96332
64x2	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97939
64x2	tanh	sgd	1e-05	adaptive	0.001	True	0.90375
64x2	tanh	adam	1e-05	adaptive	0.001	True	0.94477
64x2	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97711
64x2	tanh	sgd	1e-05	adaptive	0.0001	True	0.50122
64x2	tanh	adam	1e-05	adaptive	0.0001	True	0.85285
64x2	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.98166
64x2	tanh	sgd	1e-05	invscaling	0.1	True	0.91522
64x2	tanh	adam	1e-05	invscaling	0.1	True	0.95412
64x2	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97711
64x2	tanh	sgd	1e-05	invscaling	0.01	True	0.81152
64x2	tanh	adam	1e-05	invscaling	0.01	True	0.9564
64x2	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97711
64x2	tanh	sgd	1e-05	invscaling	0.001	True	0.56348
64x2	tanh	adam	1e-05	invscaling	0.001	True	0.94958
64x2	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97484
64x2	tanh	sgd	1e-05	invscaling	0.0001	True	0.52532
64x2	tanh	adam	1e-05	invscaling	0.0001	True	0.79144
64x2	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97484
64x3	tanh	sgd	1e-05	adaptive	0.1	True	0.94281
64x3	tanh	adam	1e-05	adaptive	0.1	True	0.92421
64x3	tanh	lbfgs	1e-05	adaptive	0.1	True	0.97711
64x3	tanh	sgd	1e-05	adaptive	0.01	True	0.94265
64x3	tanh	adam	1e-05	adaptive	0.01	True	0.96327
64x3	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97257
64x3	tanh	sgd	1e-05	adaptive	0.001	True	0.89445
64x3	tanh	adam	1e-05	adaptive	0.001	True	0.94947
64x3	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97706
64x3	tanh	sgd	1e-05	adaptive	0.0001	True	0.70412
64x3	tanh	adam	1e-05	adaptive	0.0001	True	0.82521
64x3	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97252
64x3	tanh	sgd	1e-05	invscaling	0.1	True	0.91739
64x3	tanh	adam	1e-05	invscaling	0.1	True	0.9473
64x3	tanh	lbfgs	1e-05	invscaling	0.1	True	0.96792
64x3	tanh	sgd	1e-05	invscaling	0.01	True	0.84403
64x3	tanh	adam	1e-05	invscaling	0.01	True	0.9657
64x3	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97479
64x3	tanh	sgd	1e-05	invscaling	0.001	True	0.55069
64x3	tanh	adam	1e-05	invscaling	0.001	True	0.9518
