n_estimators	max_features	max_depth	min_samples_split	min_samples_leaf	bagging	accuracy
1	2	10	2	1	True	0.80275
2	2	10	2	1	True	0.7889
3	2	10	2	1	True	0.86242
4	2	10	2	1	True	0.89641
5	2	10	2	1	True	0.88309
6	2	10	2	1	True	0.90344
7	2	10	2	1	True	0.8944
8	2	10	2	1	True	0.8991
9	2	10	2	1	True	0.92199
10	2	10	2	1	True	0.92188
20	2	10	2	1	True	0.94033
30	2	10	2	1	True	0.94022
40	2	10	2	1	True	0.95185
50	2	10	2	1	True	0.9426
100	2	10	2	1	True	0.95872
1	2	10	3	1	True	0.81189
2	2	10	3	1	True	0.79355
3	2	10	3	1	True	0.88547
4	2	10	3	1	True	0.88557
5	2	10	3	1	True	0.90143
6	2	10	3	1	True	0.93362
7	2	10	3	1	True	0.90375
8	2	10	3	1	True	0.91258
9	2	10	3	1	True	0.90835
10	2	10	3	1	True	0.92172
20	2	10	3	1	True	0.93118
30	2	10	3	1	True	0.94942
40	2	10	3	1	True	0.95634
50	2	10	3	1	True	0.94244
100	2	10	3	1	True	0.94482
1	2	10	4	1	True	0.76364
2	2	10	4	1	True	0.78462
3	2	10	4	1	True	0.86691
4	2	10	4	1	True	0.8805
5	2	10	4	1	True	0.91047
6	2	10	4	1	True	0.90566
7	2	10	4	1	True	0.90122
8	2	10	4	1	True	0.92437
9	2	10	4	1	True	0.93346
10	2	10	4	1	True	0.91966
20	2	10	4	1	True	0.93129
30	2	10	4	1	True	0.92875
40	2	10	4	1	True	0.94704
50	2	10	4	1	True	0.95174
100	2	10	4	1	True	0.95402
1	2	10	2	2	True	0.8074
2	2	10	2	2	True	0.85555
3	2	10	2	2	True	0.84403
4	2	10	2	2	True	0.89667
5	2	10	2	2	True	0.90111
6	2	10	2	2	True	0.90148
7	2	10	2	2	True	0.91512
8	2	10	2	2	True	0.91274
9	2	10	2	2	True	0.90825
10	2	10	2	2	True	0.91749
20	2	10	2	2	True	0.94942
30	2	10	2	2	True	0.94482
40	2	10	2	2	True	0.94952
50	2	10	2	2	True	0.9426
100	2	10	2	2	True	0.94937
1	2	10	3	2	True	0.81929
2	2	10	3	2	True	0.81163
3	2	10	3	2	True	0.85576
4	2	10	3	2	True	0.8667
5	2	10	3	2	True	0.89646
6	2	10	3	2	True	0.91263
7	2	10	3	2	True	0.91036
8	2	10	3	2	True	0.93362
9	2	10	3	2	True	0.91522
10	2	10	3	2	True	0.91517
20	2	10	3	2	True	0.9564
30	2	10	3	2	True	0.94947
40	2	10	3	2	True	0.96099
50	2	10	3	2	True	0.95862
100	2	10	3	2	True	0.94709
1	2	10	4	2	True	0.80058
2	2	10	4	2	True	0.81158
3	2	10	4	2	True	0.86015
4	2	10	4	2	True	0.88525
5	2	10	4	2	True	0.90629
6	2	10	4	2	True	0.91496
7	2	10	4	2	True	0.89905
8	2	10	4	2	True	0.92437
9	2	10	4	2	True	0.92659
10	2	10	4	2	True	0.92204
20	2	10	4	2	True	0.93795
30	2	10	4	2	True	0.95428
40	2	10	4	2	True	0.95185
50	2	10	4	2	True	0.94942
100	2	10	4	2	True	0.95174
1	2	10	2	3	True	0.78245
2	2	10	2	3	True	0.82336
3	2	10	2	3	True	0.86237
4	2	10	2	3	True	0.88071
5	2	10	2	3	True	0.89001
6	2	10	2	3	True	0.90592
7	2	10	2	3	True	0.8944
8	2	10	2	3	True	0.89905
9	2	10	2	3	True	0.90587
