C	kernel	degree	probability	accuracy
1000	linear	-	True	0.93816
1000	linear	-	False	0.93816
1000	rbf	-	True	0.87854
1000	rbf	-	False	0.87854
1000	sigmoid	-	True	0.8787
1000	sigmoid	-	False	0.8787
100	linear	-	True	0.93356
100	linear	-	False	0.93356
100	rbf	-	True	0.87854
100	rbf	-	False	0.87854
100	sigmoid	-	True	0.87854
100	sigmoid	-	False	0.87854
50	linear	-	True	0.93356
50	linear	-	False	0.93356
50	rbf	-	True	0.87854
50	rbf	-	False	0.87854
50	sigmoid	-	True	0.8834
50	sigmoid	-	False	0.8834
10	linear	-	True	0.93589
10	linear	-	False	0.93589
10	rbf	-	True	0.87172
10	rbf	-	False	0.87172
10	sigmoid	-	True	0.89249
10	sigmoid	-	False	0.89249
1.0	linear	-	True	0.93599
1.0	linear	-	False	0.93599
1.0	rbf	-	True	0.9223
1.0	rbf	-	False	0.9223
1.0	sigmoid	-	True	0.92008
1.0	sigmoid	-	False	0.92008
0.1	linear	-	True	0.94054
0.1	linear	-	False	0.94054
0.1	rbf	-	True	0.90618
0.1	rbf	-	False	0.90618
0.1	sigmoid	-	True	0.91998
0.1	sigmoid	-	False	0.91998
0.01	linear	-	True	0.92458
0.01	linear	-	False	0.92458
0.01	rbf	-	True	0.47267
0.01	rbf	-	False	0.47267
0.01	sigmoid	-	True	0.86971
0.01	sigmoid	-	False	0.86971
1000	poly	1	True	0.93362
1000	poly	1	False	0.93362
1000	poly	2	True	0.5343
1000	poly	2	False	0.5343
1000	poly	3	True	0.8834
1000	poly	3	False	0.8834
1000	poly	4	True	0.54112
1000	poly	4	False	0.54112
1000	poly	5	True	0.80529
1000	poly	5	False	0.80529
1000	poly	6	True	0.48393
1000	poly	6	False	0.48393
1000	poly	7	True	0.78013
1000	poly	7	False	0.78013
1000	poly	8	True	0.50973
1000	poly	8	False	0.50973
1000	poly	9	True	0.75016
1000	poly	9	False	0.75016
1000	poly	10	True	0.55534
1000	poly	10	False	0.55534
1000	poly	11	True	0.6815
1000	poly	11	False	0.6815
1000	poly	12	True	0.54836
1000	poly	12	False	0.54836
1000	poly	13	True	0.63097
1000	poly	13	False	0.63097
1000	poly	14	True	0.53684
1000	poly	14	False	0.53684
1000	poly	15	True	0.58737
1000	poly	15	False	0.58737
1000	poly	16	True	0.52754
1000	poly	16	False	0.52754
1000	poly	17	True	0.57357
1000	poly	17	False	0.57357
1000	poly	18	True	0.52981
1000	poly	18	False	0.52981
1000	poly	19	True	0.56205
1000	poly	19	False	0.56205
100	poly	1	True	0.94503
100	poly	1	False	0.94503
100	poly	2	True	0.53192
100	poly	2	False	0.53192
100	poly	3	True	0.88108
100	poly	3	False	0.88108
100	poly	4	True	0.54804
100	poly	4	False	0.54804
100	poly	5	True	0.86284
100	poly	5	False	0.86284
100	poly	6	True	0.57119
100	poly	6	False	0.57119
100	poly	7	True	0.76173
100	poly	7	False	0.76173
100	poly	8	True	0.56675
100	poly	8	False	0.56675
100	poly	9	True	0.67463
100	poly	9	False	0.67463
100	poly	10	True	0.55513
100	poly	10	False	0.55513
100	poly	11	True	0.61956
100	poly	11	False	0.61956
100	poly	12	True	0.5528
100	poly	12	False	0.5528
100	poly	13	True	0.59424
100	poly	13	False	0.59424
100	poly	14	True	0.53901
100	poly	14	False	0.53901
100	poly	15	True	0.57125
100	poly	15	False	0.57125
100	poly	16	True	0.52981
100	poly	16	False	0.52981
100	poly	17	True	0.55745
100	poly	17	False	0.55745
100	poly	18	True	0.51834
100	poly	18	False	0.51834
100	poly	19	True	0.55285
100	poly	19	False	0.55285
50	poly	1	True	0.93594
50	poly	1	False	0.93594
50	poly	2	True	0.54112
50	poly	2	False	0.54112
50	poly	3	True	0.88108
50	poly	3	False	0.88108
50	poly	4	True	0.55529
50	poly	4	False	0.55529
50	poly	5	True	0.85581
50	poly	5	False	0.85581
50	poly	6	True	0.56216
50	poly	6	False	0.56216
50	poly	7	True	0.74107
50	poly	7	False	0.74107
50	poly	8	True	0.56448
50	poly	8	False	0.56448
50	poly	9	True	0.66311
50	poly	9	False	0.66311
50	poly	10	True	0.55978
50	poly	10	False	0.55978
50	poly	11	True	0.60809
50	poly	11	False	0.60809
50	poly	12	True	0.5436
50	poly	12	False	0.5436
50	poly	13	True	0.59424
50	poly	13	False	0.59424
50	poly	14	True	0.53441
50	poly	14	False	0.53441
50	poly	15	True	0.57119
50	poly	15	False	0.57119
50	poly	16	True	0.51829
50	poly	16	False	0.51829
50	poly	17	True	0.5574
50	poly	17	False	0.5574
50	poly	18	True	0.51834
50	poly	18	False	0.51834
50	poly	19	True	0.55058
50	poly	19	False	0.55058
