Basic ELO	k0	lambda	accuracy	precision	recall	f1	roc_auc
1500	20	nan	0.6305	0.6437	0.693	0.6649	0.6858
500	2	0.2	0.6209	0.6288	0.7058	0.6631	0.664
500	2	0.4	0.622	0.6314	0.7007	0.6623	0.6686
500	2	0.6	0.6257	0.6365	0.6962	0.663	0.6758
500	2	0.8	0.6301	0.642	0.6965	0.6656	0.682
500	2	1.0	0.6278	0.64	0.6946	0.664	0.6848
500	2	1.2	0.6263	0.6389	0.6919	0.6623	0.6821
500	2	1.4	0.6236	0.6344	0.694	0.6614	0.6726
500	2	1.6	0.6135	0.6233	0.6943	0.6556	0.6567
500	2	1.8	0.6028	0.6123	0.6956	0.6498	0.6391
500	4	0.2	0.6215	0.6315	0.697	0.6608	0.669
500	4	0.4	0.6271	0.6385	0.6954	0.6635	0.6777
500	4	0.6	0.6314	0.6445	0.6938	0.6657	0.6838
500	4	0.8	0.6291	0.6416	0.6943	0.6648	0.6855
500	4	1.0	0.6249	0.6381	0.689	0.6604	0.6815
500	4	1.2	0.6218	0.6331	0.6922	0.6599	0.6711
500	4	1.4	0.609	0.6198	0.6884	0.651	0.6548
500	4	1.6	0.6029	0.6124	0.6956	0.6503	0.6379
500	4	1.8	0.5978	0.6057	0.7037	0.6497	0.6268
500	6	0.2	0.6256	0.6363	0.697	0.6632	0.6759
500	6	0.4	0.6284	0.6409	0.6933	0.6637	0.6824
500	6	0.6	0.6315	0.6444	0.6941	0.666	0.6856
500	6	0.8	0.6293	0.642	0.6924	0.6642	0.6835
500	6	1.0	0.6239	0.6355	0.6916	0.6608	0.675
500	6	1.2	0.6134	0.6241	0.6906	0.6544	0.6606
500	6	1.4	0.6035	0.6135	0.6911	0.6488	0.6431
500	6	1.6	0.5973	0.6056	0.698	0.6474	0.6303
500	6	1.8	0.5923	0.6004	0.701	0.6456	0.6254
500	8	0.2	0.6286	0.6396	0.697	0.6649	0.6794
500	8	0.4	0.6329	0.646	0.6978	0.668	0.6842
500	8	0.6	0.6327	0.6458	0.693	0.6664	0.6851
500	8	0.8	0.6249	0.6375	0.6909	0.661	0.6798
500	8	1.0	0.6172	0.6297	0.6866	0.6554	0.6684
500	8	1.2	0.6104	0.6209	0.6908	0.653	0.6518
500	8	1.4	0.6005	0.6102	0.6927	0.6478	0.6366
500	8	1.6	0.5943	0.6025	0.6994	0.6464	0.6267
500	8	1.8	0.5931	0.6012	0.7026	0.6465	0.6242
500	10	0.2	0.6325	0.6445	0.6973	0.6676	0.6816
500	10	0.4	0.6315	0.6451	0.6935	0.6666	0.6849
500	10	0.6	0.631	0.6436	0.6933	0.6654	0.6834
500	10	0.8	0.6243	0.6363	0.6922	0.6612	0.6757
500	10	1.0	0.614	0.6258	0.6868	0.6536	0.6623
500	10	1.2	0.605	0.6152	0.6906	0.6498	0.6454
500	10	1.4	0.5968	0.6063	0.6932	0.6458	0.6329
500	10	1.6	0.5917	0.5999	0.6996	0.6449	0.6271
500	10	1.8	0.5927	0.6011	0.7007	0.6459	0.6269
500	12	0.2	0.6312	0.6441	0.6946	0.6659	0.6824
500	12	0.4	0.6329	0.6463	0.6933	0.6665	0.6847
500	12	0.6	0.629	0.6417	0.6941	0.6644	0.6813
500	12	0.8	0.6205	0.6329	0.6879	0.6575	0.6718
500	12	1.0	0.6106	0.6221	0.6863	0.6513	0.6567
500	12	1.2	0.6022	0.6119	0.6911	0.648	0.6403
500	12	1.4	0.595	0.6042	0.6946	0.6453	0.6308
500	12	1.6	0.5939	0.6025	0.698	0.6456	0.6294
500	12	1.8	0.5923	0.602	0.6932	0.6431	0.6292
500	14	0.2	0.6311	0.6432	0.6954	0.6663	0.6833
500	14	0.4	0.6325	0.6451	0.6954	0.6675	0.684
500	14	0.6	0.6264	0.6393	0.6914	0.6621	0.679
500	14	0.8	0.6175	0.6296	0.6868	0.6555	0.6679
500	14	1.0	0.6101	0.621	0.6882	0.6518	0.6521
500	14	1.2	0.6016	0.6112	0.6924	0.6481	0.6367
500	14	1.4	0.5958	0.6044	0.6978	0.6469	0.6289
500	14	1.6	0.5974	0.6056	0.701	0.6487	0.6273
500	14	1.8	0.5917	0.6005	0.698	0.6443	0.626
500	16	0.2	0.6307	0.6435	0.693	0.6652	0.683
500	16	0.4	0.6311	0.6439	0.6959	0.6667	0.6828
500	16	0.6	0.625	0.6372	0.6919	0.6615	0.6764
500	16	0.8	0.614	0.6261	0.6852	0.653	0.6643
500	16	1.0	0.6072	0.6177	0.6887	0.6502	0.6479
500	16	1.2	0.5997	0.6095	0.6916	0.6468	0.634
500	16	1.4	0.5931	0.6021	0.6962	0.6451	0.627
500	16	1.6	0.5885	0.5978	0.6919	0.6405	0.6245
500	16	1.8	0.5967	0.6049	0.6996	0.6476	0.6279
500	18	0.2	0.6291	0.6425	0.6922	0.6641	0.6831
500	18	0.4	0.6305	0.6429	0.6954	0.6658	0.6815
500	18	0.6	0.6216	0.634	0.6895	0.6588	0.6739
500	18	0.8	0.613	0.6247	0.6858	0.6525	0.6608
500	18	1.0	0.6053	0.6156	0.6887	0.649	0.6445
500	18	1.2	0.5968	0.6063	0.6919	0.6454	0.632
500	18	1.4	0.5929	0.6018	0.6964	0.645	0.6263
500	18	1.6	0.5943	0.6017	0.7036	0.6475	0.6267
500	18	1.8	0.5973	0.6045	0.7045	0.6495	0.6274
600	2	0.2	0.6178	0.6265	0.7013	0.6597	0.6637
600	2	0.4	0.6229	0.6324	0.7005	0.6628	0.6683
600	2	0.6	0.6267	0.6376	0.6965	0.6636	0.6756
600	2	0.8	0.6291	0.6414	0.6946	0.6646	0.6823
600	2	1.0	0.6297	0.6411	0.6981	0.666	0.6848
600	2	1.2	0.626	0.6388	0.6916	0.6624	0.6822
600	2	1.4	0.6233	0.6342	0.694	0.6614	0.6726
600	2	1.6	0.6137	0.6234	0.6943	0.6559	0.6567
600	2	1.8	0.6025	0.6123	0.6946	0.6493	0.6392
600	4	0.2	0.6215	0.6315	0.697	0.6606	0.6693
600	4	0.4	0.6277	0.6392	0.6951	0.6636	0.6779
600	4	0.6	0.6318	0.6443	0.6957	0.6663	0.684
600	4	0.8	0.6303	0.6427	0.6935	0.6651	0.6853
600	4	1.0	0.6243	0.6371	0.6895	0.6605	0.6816
600	4	1.2	0.6206	0.6321	0.6908	0.6588	0.6711
600	4	1.4	0.6083	0.6192	0.6879	0.6506	0.6549
600	4	1.6	0.6028	0.6125	0.6946	0.6495	0.6379
600	4	1.8	0.5971	0.6053	0.7018	0.6487	0.6269
600	6	0.2	0.6246	0.6356	0.6959	0.6623	0.6756
600	6	0.4	0.6291	0.6415	0.6941	0.6644	0.6824
600	6	0.6	0.6338	0.6466	0.6962	0.6679	0.6855
600	6	0.8	0.6286	0.6412	0.6919	0.6636	0.6836
600	6	1.0	0.6225	0.6346	0.6898	0.6593	0.675
600	6	1.2	0.6143	0.625	0.6911	0.655	0.6606
600	6	1.4	0.6035	0.6137	0.6906	0.6487	0.6432
600	6	1.6	0.5964	0.6049	0.6978	0.6466	0.6303
600	6	1.8	0.5936	0.602	0.6996	0.6459	0.6236
600	8	0.2	0.6303	0.6412	0.6978	0.6662	0.6794
600	8	0.4	0.6334	0.6458	0.6981	0.6681	0.6845
600	8	0.6	0.6335	0.6463	0.6946	0.6674	0.6851
600	8	0.8	0.6256	0.6379	0.6911	0.6613	0.6799
600	8	1.0	0.6168	0.6293	0.6866	0.6554	0.6683
600	8	1.2	0.609	0.6199	0.6887	0.6513	0.6519
600	8	1.4	0.6008	0.6103	0.694	0.6482	0.6366
600	8	1.6	0.594	0.6019	0.7002	0.6465	0.627
600	8	1.8	0.5963	0.6051	0.7007	0.6478	0.6289
600	10	0.2	0.6322	0.6447	0.6962	0.667	0.6815
600	10	0.4	0.6322	0.6443	0.6949	0.6661	0.685
600	10	0.6	0.6312	0.6439	0.6938	0.6657	0.6836
600	10	0.8	0.6247	0.6368	0.6922	0.6615	0.6758
600	10	1.0	0.6142	0.6261	0.6868	0.6537	0.6624
600	10	1.2	0.6046	0.6149	0.6898	0.6491	0.6454
600	10	1.4	0.5957	0.6054	0.6922	0.6449	0.633
600	10	1.6	0.5903	0.5985	0.701	0.6445	0.6247
600	10	1.8	0.5912	0.5992	0.701	0.6446	0.625
600	12	0.2	0.6308	0.6434	0.6949	0.6659	0.6827
600	12	0.4	0.6327	0.6463	0.6935	0.6666	0.6848
600	12	0.6	0.6281	0.6408	0.6938	0.664	0.6814
600	12	0.8	0.6196	0.6321	0.6874	0.6569	0.672
600	12	1.0	0.6106	0.6223	0.6866	0.6516	0.6568
600	12	1.2	0.6025	0.6122	0.6922	0.6486	0.6403
600	12	1.4	0.594	0.6035	0.693	0.6444	0.6308
600	12	1.6	0.5934	0.6021	0.6978	0.6452	0.6262
600	12	1.8	0.5913	0.6005	0.6967	0.6438	0.629
600	14	0.2	0.6293	0.6418	0.6941	0.6646	0.6833
600	14	0.4	0.6332	0.6459	0.6967	0.668	0.6841
600	14	0.6	0.626	0.6388	0.6919	0.6621	0.679
600	14	0.8	0.6181	0.6301	0.689	0.6565	0.6679
600	14	1.0	0.609	0.62	0.6884	0.6512	0.6522
600	14	1.2	0.5999	0.6097	0.6919	0.6472	0.6367
600	14	1.4	0.5943	0.6033	0.6951	0.6453	0.629
600	14	1.6	0.5931	0.6024	0.6951	0.6443	0.6277
600	14	1.8	0.5934	0.6015	0.6999	0.646	0.6251
600	16	0.2	0.6305	0.6435	0.6935	0.6653	0.6832
600	16	0.4	0.6314	0.6445	0.6962	0.667	0.6829
600	16	0.6	0.6247	0.6374	0.6914	0.6611	0.6765
600	16	0.8	0.6142	0.6261	0.686	0.6533	0.6644
600	16	1.0	0.6066	0.6173	0.6879	0.6496	0.6479
600	16	1.2	0.5991	0.609	0.6906	0.646	0.634
600	16	1.4	0.5944	0.6028	0.6978	0.646	0.6272
600	16	1.6	0.5946	0.602	0.7018	0.6472	0.6273
600	16	1.8	0.593	0.6017	0.697	0.6447	0.6261
600	18	0.2	0.6298	0.6431	0.6919	0.6641	0.6831
600	18	0.4	0.6315	0.6434	0.6965	0.6667	0.6816
600	18	0.6	0.6218	0.6342	0.6895	0.6589	0.6741
600	18	0.8	0.6121	0.6239	0.6858	0.6518	0.6609
600	18	1.0	0.6052	0.6154	0.6887	0.6491	0.6446
600	18	1.2	0.5974	0.6071	0.6914	0.6455	0.6321
600	18	1.4	0.5946	0.6028	0.6983	0.6459	0.6264
600	18	1.6	0.5944	0.6032	0.6956	0.6453	0.6285
600	18	1.8	0.5924	0.6001	0.702	0.6461	0.6252
700	2	0.2	0.6171	0.6246	0.7045	0.6603	0.6623
700	2	0.4	0.6209	0.6304	0.6994	0.6612	0.6683
700	2	0.6	0.6271	0.6379	0.697	0.664	0.6758
700	2	0.8	0.6305	0.6425	0.6962	0.666	0.6823
700	2	1.0	0.6288	0.6404	0.6975	0.6653	0.6849
700	2	1.2	0.6249	0.6376	0.6908	0.661	0.6821
700	2	1.4	0.6233	0.6339	0.6951	0.6615	0.6728
700	2	1.6	0.6135	0.6236	0.6927	0.655	0.6568
700	2	1.8	0.6018	0.6119	0.6932	0.6486	0.6393
700	4	0.2	0.6223	0.6321	0.6983	0.6616	0.6694
700	4	0.4	0.6276	0.6393	0.6941	0.6633	0.6777
