technique	C	regularization	solver	accuracy
lemmatization	1000	l1	saga	0.97886
lemmatization	1000	l1	liblinear	0.96841
lemmatization	100	l1	saga	0.97886
lemmatization	100	l1	liblinear	0.97329
lemmatization	50	l1	saga	0.979
lemmatization	50	l1	liblinear	0.97538
lemmatization	10	l1	saga	0.97919
lemmatization	10	l1	liblinear	0.97677
lemmatization	1.0	l1	saga	0.97886
lemmatization	1.0	l1	liblinear	0.97863
lemmatization	0.1	l1	saga	0.96809
lemmatization	0.1	l1	liblinear	0.96804
lemmatization	0.01	l1	saga	0.9555
lemmatization	0.01	l1	liblinear	0.9555
lemmatization	1000	l2	lbfgs	0.97654
lemmatization	1000	l2	liblinear	0.97408
lemmatization	1000	l2	newton-cg	0.97362
lemmatization	1000	l2	newton-cholesky	0.9738
lemmatization	1000	l2	sag	0.97826
lemmatization	1000	l2	saga	0.97886
lemmatization	100	l2	lbfgs	0.97761
lemmatization	100	l2	liblinear	0.97668
lemmatization	100	l2	newton-cg	0.97631
lemmatization	100	l2	newton-cholesky	0.97664
lemmatization	100	l2	sag	0.97835
lemmatization	100	l2	saga	0.97882
lemmatization	50	l2	lbfgs	0.9784
lemmatization	50	l2	liblinear	0.97733
lemmatization	50	l2	newton-cg	0.97733
lemmatization	50	l2	newton-cholesky	0.97747
lemmatization	50	l2	sag	0.9784
lemmatization	50	l2	saga	0.97896
lemmatization	10	l2	lbfgs	0.97905
lemmatization	10	l2	liblinear	0.97868
lemmatization	10	l2	newton-cg	0.97877
lemmatization	10	l2	newton-cholesky	0.97868
lemmatization	10	l2	sag	0.97928
lemmatization	10	l2	saga	0.97951
lemmatization	1.0	l2	lbfgs	0.97933
lemmatization	1.0	l2	liblinear	0.97965
lemmatization	1.0	l2	newton-cg	0.97975
lemmatization	1.0	l2	newton-cholesky	0.97965
lemmatization	1.0	l2	sag	0.97947
lemmatization	1.0	l2	saga	0.97938
lemmatization	0.1	l2	lbfgs	0.9719
lemmatization	0.1	l2	liblinear	0.97218
lemmatization	0.1	l2	newton-cg	0.97194
lemmatization	0.1	l2	newton-cholesky	0.97208
lemmatization	0.1	l2	sag	0.97213
lemmatization	0.1	l2	saga	0.97232
lemmatization	0.01	l2	lbfgs	0.94997
lemmatization	0.01	l2	liblinear	0.95067
lemmatization	0.01	l2	newton-cg	0.95002
lemmatization	0.01	l2	newton-cholesky	0.95002
lemmatization	0.01	l2	sag	0.95007
lemmatization	0.01	l2	saga	0.95053
stemming	1000	l1	saga	0.97873
stemming	1000	l1	liblinear	0.96767
stemming	100	l1	saga	0.97886
stemming	100	l1	liblinear	0.97338
stemming	50	l1	saga	0.97891
stemming	50	l1	liblinear	0.9752
stemming	10	l1	saga	0.97928
stemming	10	l1	liblinear	0.97701
stemming	1.0	l1	saga	0.97873
stemming	1.0	l1	liblinear	0.97877
stemming	0.1	l1	saga	0.96772
stemming	0.1	l1	liblinear	0.96762
stemming	0.01	l1	saga	0.95545
stemming	0.01	l1	liblinear	0.95545
stemming	1000	l2	lbfgs	0.97742
stemming	1000	l2	liblinear	0.97329
stemming	1000	l2	newton-cg	0.9732
stemming	1000	l2	newton-cholesky	0.97278
stemming	1000	l2	sag	0.97873
stemming	1000	l2	saga	0.97877
stemming	100	l2	lbfgs	0.97784
stemming	100	l2	liblinear	0.97747
stemming	100	l2	newton-cg	0.9771
stemming	100	l2	newton-cholesky	0.97719
stemming	100	l2	sag	0.97886
stemming	100	l2	saga	0.97896
stemming	50	l2	lbfgs	0.97831
stemming	50	l2	liblinear	0.97803
stemming	50	l2	newton-cg	0.9778
stemming	50	l2	newton-cholesky	0.97803
stemming	50	l2	sag	0.97882
stemming	50	l2	saga	0.97896
stemming	10	l2	lbfgs	0.979
stemming	10	l2	liblinear	0.97919
stemming	10	l2	newton-cg	0.97919
stemming	10	l2	newton-cholesky	0.97919
stemming	10	l2	sag	0.97928
stemming	10	l2	saga	0.97956
stemming	1.0	l2	lbfgs	0.97933
stemming	1.0	l2	liblinear	0.97933
stemming	1.0	l2	newton-cg	0.97933
stemming	1.0	l2	newton-cholesky	0.97938
stemming	1.0	l2	sag	0.97914
stemming	1.0	l2	saga	0.97942
stemming	0.1	l2	lbfgs	0.97171
stemming	0.1	l2	liblinear	0.97185
stemming	0.1	l2	newton-cg	0.97148
stemming	0.1	l2	newton-cholesky	0.97166
stemming	0.1	l2	sag	0.97185
stemming	0.1	l2	saga	0.97204
stemming	0.01	l2	lbfgs	0.94988
stemming	0.01	l2	liblinear	0.95053
stemming	0.01	l2	newton-cg	0.94983
stemming	0.01	l2	newton-cholesky	0.94983
stemming	0.01	l2	sag	0.94988
stemming	0.01	l2	saga	0.94997
