technique	kernel	C	gamma	degree	precision
lemmatization	linear	1000	scale	-	0.94113
lemmatization	poly	1000	scale	1	0.94113
lemmatization	rbf	1000	scale	-	0.93919
lemmatization	sigmoid	1000	scale	-	0.88844
lemmatization	linear	1000	scale	-	0.94113
lemmatization	poly	1000	scale	2	0.97832
lemmatization	rbf	1000	scale	-	0.93919
lemmatization	sigmoid	1000	scale	-	0.88844
lemmatization	linear	1000	scale	-	0.94113
lemmatization	poly	1000	scale	3	0.97711
lemmatization	rbf	1000	scale	-	0.93919
lemmatization	sigmoid	1000	scale	-	0.88844
lemmatization	linear	1000	scale	-	0.94113
lemmatization	poly	1000	scale	4	0.9725
lemmatization	rbf	1000	scale	-	0.93919
lemmatization	sigmoid	1000	scale	-	0.88844
lemmatization	linear	1000	scale	-	0.94113
lemmatization	poly	1000	scale	5	0.97738
lemmatization	rbf	1000	scale	-	0.93919
lemmatization	sigmoid	1000	scale	-	0.88844
lemmatization	linear	1000	scale	-	0.94113
lemmatization	poly	1000	scale	6	0.97074
lemmatization	rbf	1000	scale	-	0.93919
lemmatization	sigmoid	1000	scale	-	0.88844
lemmatization	linear	1000	scale	-	0.94113
lemmatization	poly	1000	scale	7	0.95778
lemmatization	rbf	1000	scale	-	0.93919
lemmatization	sigmoid	1000	scale	-	0.88844
lemmatization	linear	1000	scale	-	0.94113
lemmatization	poly	1000	scale	8	0.97036
lemmatization	rbf	1000	scale	-	0.93919
lemmatization	sigmoid	1000	scale	-	0.88844
lemmatization	linear	1000	scale	-	0.94113
lemmatization	poly	1000	scale	9	0.9646
lemmatization	rbf	1000	scale	-	0.93919
lemmatization	sigmoid	1000	scale	-	0.88844
lemmatization	linear	1000	scale	-	0.94113
lemmatization	poly	1000	scale	10	0.97571
lemmatization	rbf	1000	scale	-	0.93919
lemmatization	sigmoid	1000	scale	-	0.88844
lemmatization	linear	100	scale	-	0.94113
lemmatization	poly	100	scale	1	0.9603
lemmatization	rbf	100	scale	-	0.93919
lemmatization	sigmoid	100	scale	-	0.88697
lemmatization	linear	100	scale	-	0.94113
lemmatization	poly	100	scale	2	0.98125
lemmatization	rbf	100	scale	-	0.93919
lemmatization	sigmoid	100	scale	-	0.88697
lemmatization	linear	100	scale	-	0.94113
lemmatization	poly	100	scale	3	0.97628
lemmatization	rbf	100	scale	-	0.93919
lemmatization	sigmoid	100	scale	-	0.88697
